,GAUL,Year,NDVI
1260,113,2001,0.5544530979479718
1261,113,2002,0.5388454708034224
1262,113,2003,0.49820053374780704
1263,113,2004,0.5479082136282819
1264,113,2005,0.5420120303287981
1265,113,2006,0.5310623787005914
1266,113,2007,0.561286340686851
1267,113,2008,0.575972549801464
1268,113,2009,0.5298915512378367
1269,113,2010,0.545788817959919
1270,113,2011,0.546373284545394
1271,113,2012,0.524149021868294
1272,113,2013,0.5701064466746316
1273,113,2014,
1274,113,2015,
1275,113,2016,
1276,113,2017,
1277,113,2018,
1278,113,2019,
1279,113,2020,
1280,114,2001,0.12640083534306248
1281,114,2002,0.1235247674982209
1282,114,2003,0.1313248181939848
1283,114,2004,0.13242823837008713
1284,114,2005,0.11932426143384
1285,114,2006,0.12656460158690422
1286,114,2007,0.12505965190026658
1287,114,2008,0.12025551263895799
1288,114,2009,0.11329321886023476
1289,114,2010,0.1337095726287843
1290,114,2011,0.12220065967054143
1291,114,2012,0.12362778682685453
1292,114,2013,0.10664530446790021
1293,114,2014,
1294,114,2015,
1295,114,2016,
1296,114,2017,
1297,114,2018,
1298,114,2019,
1299,114,2020,
1300,115,2001,0.4496891403361327
1301,115,2002,0.4447934020105599
1302,115,2003,0.44483413277958356
1303,115,2004,0.4536706373837622
1304,115,2005,0.45300397549698945
1305,115,2006,0.4556085696969763
1306,115,2007,0.45559050733468526
1307,115,2008,0.45237911701911093
1308,115,2009,0.44428005176367863
1309,115,2010,0.4624935237615951
1310,115,2011,0.4723399432036422
1311,115,2012,0.45453229786429034
1312,115,2013,0.45793365033127853
1313,115,2014,
1314,115,2015,
1315,115,2016,
1316,115,2017,
1317,115,2018,
1318,115,2019,
1319,115,2020,
1320,116,2001,0.6912668104748732
1321,116,2002,0.6945163421534989
1322,116,2003,0.700850184878239
1323,116,2004,0.7061169477396886
1324,116,2005,0.7073593707675259
1325,116,2006,0.6923902160631106
1326,116,2007,0.7028392478400463
1327,116,2008,0.6970143337161977
1328,116,2009,0.7098391602092091
1329,116,2010,0.7162916491199324
1330,116,2011,0.7015875893233835
1331,116,2012,0.6973153267973964
1332,116,2013,0.7022638298703939
1333,116,2014,
1334,116,2015,
1335,116,2016,
1336,116,2017,
1337,116,2018,
1338,116,2019,
1339,116,2020,
1340,117,2001,0.09424111863381197
1341,117,2002,0.09464665873125562
1342,117,2003,0.08921399162424752
1343,117,2004,0.0933364498218107
1344,117,2005,0.09180116891596017
1345,117,2006,0.09192251478000017
1346,117,2007,0.09418101047793748
1347,117,2008,0.0825152223837538
1348,117,2009,0.09250968252164515
1349,117,2010,0.10405092732355513
1350,117,2011,0.08325999737622547
1351,117,2012,0.08527558485454038
1352,117,2013,0.09313969275624412
1353,117,2014,
1354,117,2015,
1355,117,2016,
1356,117,2017,
1357,117,2018,
1358,117,2019,
1359,117,2020,
1360,118,2001,0.16877665608924472
1361,118,2002,0.15918391681856423
1362,118,2003,0.1594821568215524
1363,118,2004,0.18081507790541695
1364,118,2005,0.16339101542340204
1365,118,2006,0.16237959740402363
1366,118,2007,0.1630771571727658
1367,118,2008,0.14737000473272135
1368,118,2009,0.15468595728626522
1369,118,2010,0.16256071068079017
1370,118,2011,0.15812026496301043
1371,118,2012,0.1543834159526725
1372,118,2013,0.17680616645523747
1373,118,2014,
1374,118,2015,
1375,118,2016,
1376,118,2017,
1377,118,2018,
1378,118,2019,
1379,118,2020,
1380,119,2001,0.6980401748712821
1381,119,2002,0.6842219257693314
1382,119,2003,0.6887186632049493
1383,119,2004,0.6912751569422931
1384,119,2005,0.7031796357720802
1385,119,2006,0.7002456471554735
1386,119,2007,0.7075687895500987
1387,119,2008,0.6787919964677386
1388,119,2009,0.6871112648394883
1389,119,2010,0.6899823117215643
1390,119,2011,0.6800320491285091
1391,119,2012,0.6846136375952933
1392,119,2013,0.6744263509407933
1393,119,2014,
1394,119,2015,
1395,119,2016,
1396,119,2017,
1397,119,2018,
1398,119,2019,
1399,119,2020,
1400,121,2001,0.24121728142876578
1401,121,2002,0.24483022682190103
1402,121,2003,0.24537644189759436
1403,121,2004,0.24145630691206352
1404,121,2005,0.24498466590100954
1405,121,2006,0.2408107543990683
1406,121,2007,0.2458972090000414
1407,121,2008,0.2378285610708554
1408,121,2009,0.23829646517813063
1409,121,2010,0.24195742447250454
1410,121,2011,0.24726712609855692
1411,121,2012,0.25518200557610565
1412,121,2013,0.2518228436147508
1413,121,2014,
1414,121,2015,
1415,121,2016,
1416,121,2017,
1417,121,2018,
1418,121,2019,
1419,121,2020,
1420,122,2001,0.5753664143942934
1421,122,2002,0.5536121711436371
1422,122,2003,0.5595755496909779
1423,122,2004,0.5624830571714475
1424,122,2005,0.5616916879630902
1425,122,2006,0.5646768974779638
1426,122,2007,0.5759684117644854
1427,122,2008,0.565524735447595
1428,122,2009,0.5664186700338009
1429,122,2010,0.5834143342325463
1430,122,2011,0.5848907915097049
1431,122,2012,0.5847514677075077
1432,122,2013,0.5775356449965
1433,122,2014,
1434,122,2015,
1435,122,2016,
1436,122,2017,
1437,122,2018,
1438,122,2019,
1439,122,2020,
1440,123,2001,0.7137542193052009
1441,123,2002,0.7102097552769315
1442,123,2003,0.7239616388683157
1443,123,2004,0.694025594110677
1444,123,2005,0.6985831313945791
1445,123,2006,0.709463486247528
1446,123,2007,0.7227485073818102
1447,123,2008,0.7289765577909776
1448,123,2009,0.7241662295952613
1449,123,2010,0.7426242013589629
1450,123,2011,0.746416961305389
1451,123,2012,0.7340783828021707
1452,123,2013,0.7193003471414818
1453,123,2014,
1454,123,2015,
1455,123,2016,
1456,123,2017,
1457,123,2018,
1458,123,2019,
1459,123,2020,
1460,126,2001,0.5846759922951507
1461,126,2002,0.5866803825924134
1462,126,2003,0.5734296364005058
1463,126,2004,0.6020022960521036
1464,126,2005,0.5730096567482876
1465,126,2006,0.5782205693294596
1466,126,2007,0.5994124801278292
1467,126,2008,0.5901734066919891
1468,126,2009,0.588073748210528
1469,126,2010,0.5926667339494798
1470,126,2011,0.588863006026224
1471,126,2012,0.5605032739844374
1472,126,2013,0.5948604276684198
1473,126,2014,
1474,126,2015,
1475,126,2016,
1476,126,2017,
1477,126,2018,
1478,126,2019,
1479,126,2020,
1480,130,2001,0.12322695927203053
1481,130,2002,0.12329437059562016
1482,130,2003,0.12036813053590491
1483,130,2004,0.12856281469905043
1484,130,2005,0.12396799604808906
1485,130,2006,0.12302567603632258
1486,130,2007,0.12574254140108718
1487,130,2008,0.12155737591149335
1488,130,2009,0.12187325741476492
1489,130,2010,0.12737665440557366
1490,130,2011,0.12792257041055446
1491,130,2012,0.12933295747425258
1492,130,2013,0.12999168711035078
1493,130,2014,
1494,130,2015,
1495,130,2016,
1496,130,2017,
1497,130,2018,
1498,130,2019,
1499,130,2020,
1500,132,2001,0.17464839490880615
1501,132,2002,0.19265923998685638
1502,132,2003,0.1736196721735563
1503,132,2004,0.1774195474408903
1504,132,2005,0.1783814900687961
1505,132,2006,0.16943274728449795
1506,132,2007,0.18258357116341925
1507,132,2008,0.16849369507436418
1508,132,2009,0.18417811483584498
1509,132,2010,0.1759507898361626
1510,132,2011,0.17867346084368832
1511,132,2012,0.16627027981641743
1512,132,2013,0.18911543944468534
1513,132,2014,
1514,132,2015,
1515,132,2016,
1516,132,2017,
1517,132,2018,
1518,132,2019,
1519,132,2020,
1520,133,2001,0.40169616147869364
1521,133,2002,0.4106614232505297
1522,133,2003,0.40653983855655057
1523,133,2004,0.3892002969813427
1524,133,2005,0.37676903525825484
1525,133,2006,0.3922423177242975
1526,133,2007,0.4158774997855558
1527,133,2008,0.3928798572909196
1528,133,2009,0.3496909816383262
1529,133,2010,0.3990332520098711
1530,133,2011,0.3895630940183774
1531,133,2012,0.40035046727337625
1532,133,2013,0.4053981283707519
1533,133,2014,
1534,133,2015,
1535,133,2016,
1536,133,2017,
1537,133,2018,
1538,133,2019,
1539,133,2020,
1540,135,2001,-1.0
1541,135,2002,-1.0
1542,135,2003,-1.0
1543,135,2004,-1.0
1544,135,2005,-1.0
1545,135,2006,-1.0
1546,135,2007,-1.0
1547,135,2008,-1.0
1548,135,2009,-1.0
1549,135,2010,-1.0
1550,135,2011,-1.0
1551,135,2012,-1.0
1552,135,2013,-1.0
1553,135,2014,
1554,135,2015,
1555,135,2016,
1556,135,2017,
1557,135,2018,
1558,135,2019,
1559,135,2020,
1560,137,2001,0.08405533503159524
1561,137,2002,0.0807797613772779
1562,137,2003,0.07555816165178396
1563,137,2004,0.05951397236987399
1564,137,2005,0.05815669294567816
1565,137,2006,0.05951076567065872
1566,137,2007,0.05689766973165255
1567,137,2008,0.054937010752534356
1568,137,2009,0.06459592929819162
